,_Collision Severity,Day Name,Speed Limit,Light Conditions,DateTime Rounded Hour,temperature_2m (°C),rain (mm),snowfall (cm)
8632,1,1,0.2537313432835821,1,2022-01-01 00:00:00,0.41801385681293307,0.0,0.0
20999,1,1,0.2537313432835821,1,2022-01-01 00:00:00,0.41801385681293307,0.0,0.0
2402,2,1,0.2537313432835821,2,2022-01-01 01:00:00,0.420323325635104,0.0,0.0
13184,1,1,0.40298507462686567,2,2022-01-01 01:00:00,0.420323325635104,0.0,0.0
6955,1,1,0.7014925373134329,2,2022-01-01 01:00:00,0.420323325635104,0.0,0.0
6904,1,1,0.5522388059701493,2,2022-01-01 02:00:00,0.4133949191685912,0.0,0.0
14917,1,1,0.2537313432835821,2,2022-01-01 02:00:00,0.4133949191685912,0.0,0.0
12504,2,1,0.2537313432835821,3,2022-01-01 02:00:00,0.4133949191685912,0.0,0.0
19075,1,1,0.7014925373134329,2,2022-01-01 02:00:00,0.4133949191685912,0.0,0.0
10227,1,1,0.40298507462686567,2,2022-01-01 02:00:00,0.4133949191685912,0.0,0.0
6741,2,1,0.40298507462686567,2,2022-01-01 02:00:00,0.4133949191685912,0.0,0.0
6948,2,1,0.7014925373134329,2,2022-01-01 03:00:00,0.40646651270207856,0.0,0.0
21050,1,1,0.40298507462686567,4,2022-01-01 04:00:00,0.39953810623556585,0.0,0.0
9130,1,1,0.2537313432835821,2,2022-01-01 04:00:00,0.39953810623556585,0.0,0.0
1360,1,1,0.2537313432835821,2,2022-01-01 04:00:00,0.39953810623556585,0.0,0.0
15446,2,1,0.40298507462686567,2,2022-01-01 05:00:00,0.39722863741339504,0.0,0.0
23269,1,1,0.40298507462686567,2,2022-01-01 05:00:00,0.39722863741339504,0.0,0.0
19472,1,1,0.40298507462686567,2,2022-01-01 06:00:00,0.39491916859122406,0.0,0.0
15757,1,1,0.40298507462686567,1,2022-01-01 06:00:00,0.39491916859122406,0.0,0.0
12144,1,1,0.40298507462686567,1,2022-01-01 07:00:00,0.40646651270207856,0.0,0.0
