,time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),rain (mm),snowfall (cm),date
95,23:00:00,1.1,80,0.0,0.0,0.0,2022-01-04
96,00:00:00,1.5,78,0.0,0.0,0.0,2022-01-05
97,01:00:00,1.5,78,0.0,0.0,0.0,2022-01-05
98,02:00:00,1.5,76,0.0,0.0,0.0,2022-01-05
99,03:00:00,1.6,76,0.0,0.0,0.0,2022-01-05
100,04:00:00,1.6,76,0.0,0.0,0.0,2022-01-05
101,05:00:00,1.6,76,0.0,0.0,0.0,2022-01-05
102,06:00:00,1.7,75,0.0,0.0,0.0,2022-01-05
103,07:00:00,1.7,75,0.0,0.0,0.0,2022-01-05
104,08:00:00,1.5,78,0.0,0.0,0.0,2022-01-05
105,09:00:00,2.1,78,0.0,0.0,0.0,2022-01-05
106,10:00:00,3.3,77,0.0,0.0,0.0,2022-01-05
107,11:00:00,4.2,76,0.0,0.0,0.0,2022-01-05
108,12:00:00,5.2,73,0.0,0.0,0.0,2022-01-05
109,13:00:00,5.7,71,0.0,0.0,0.0,2022-01-05
110,14:00:00,5.7,72,0.0,0.0,0.0,2022-01-05
111,15:00:00,5.1,75,0.0,0.0,0.0,2022-01-05
112,16:00:00,3.4,82,0.0,0.0,0.0,2022-01-05
113,17:00:00,1.9,88,0.0,0.0,0.0,2022-01-05
114,18:00:00,0.9,90,0.0,0.0,0.0,2022-01-05
115,19:00:00,0.6,90,0.0,0.0,0.0,2022-01-05
116,20:00:00,-0.2,91,0.0,0.0,0.0,2022-01-05
117,21:00:00,-1.2,93,0.0,0.0,0.0,2022-01-05
118,22:00:00,-1.6,94,0.0,0.0,0.0,2022-01-05
119,23:00:00,-2.1,95,0.0,0.0,0.0,2022-01-05
120,00:00:00,-2.1,95,0.0,0.0,0.0,2022-01-06
121,01:00:00,-2.7,96,0.0,0.0,0.0,2022-01-06
122,02:00:00,-3.0,97,0.0,0.0,0.0,2022-01-06
123,03:00:00,-3.4,98,0.0,0.0,0.0,2022-01-06
124,04:00:00,-3.3,99,0.0,0.0,0.0,2022-01-06
125,05:00:00,-3.6,99,0.0,0.0,0.0,2022-01-06
126,06:00:00,-3.7,99,0.0,0.0,0.0,2022-01-06
127,07:00:00,-3.8,98,0.0,0.0,0.0,2022-01-06
128,08:00:00,-3.6,97,0.0,0.0,0.0,2022-01-06
129,09:00:00,-1.6,93,0.0,0.0,0.0,2022-01-06
130,10:00:00,0.9,85,0.0,0.0,0.0,2022-01-06
131,11:00:00,3.0,83,0.0,0.0,0.0,2022-01-06
132,12:00:00,3.5,81,0.0,0.0,0.0,2022-01-06
133,13:00:00,4.0,79,0.0,0.0,0.0,2022-01-06
134,14:00:00,5.7,74,0.0,0.0,0.0,2022-01-06
135,15:00:00,5.8,77,0.1,0.1,0.0,2022-01-06
136,16:00:00,5.7,82,0.2,0.2,0.0,2022-01-06
137,17:00:00,5.7,82,0.3,0.3,0.0,2022-01-06
138,18:00:00,5.7,85,0.2,0.2,0.0,2022-01-06
139,19:00:00,6.2,87,0.1,0.1,0.0,2022-01-06
140,20:00:00,6.6,89,0.5,0.5,0.0,2022-01-06
141,21:00:00,6.7,90,0.7,0.7,0.0,2022-01-06
142,22:00:00,6.7,88,0.1,0.1,0.0,2022-01-06
143,23:00:00,6.1,89,0.0,0.0,0.0,2022-01-06
144,00:00:00,6.2,85,0.0,0.0,0.0,2022-01-07
145,01:00:00,5.7,84,0.0,0.0,0.0,2022-01-07
146,02:00:00,4.7,87,0.0,0.0,0.0,2022-01-07
147,03:00:00,4.2,86,0.0,0.0,0.0,2022-01-07
148,04:00:00,3.9,84,0.0,0.0,0.0,2022-01-07
149,05:00:00,3.4,85,0.0,0.0,0.0,2022-01-07
150,06:00:00,3.2,85,0.0,0.0,0.0,2022-01-07
151,07:00:00,3.0,85,0.0,0.0,0.0,2022-01-07
152,08:00:00,2.5,86,0.0,0.0,0.0,2022-01-07
153,09:00:00,3.0,84,0.0,0.0,0.0,2022-01-07
154,10:00:00,3.9,80,0.0,0.0,0.0,2022-01-07
155,11:00:00,4.7,79,0.0,0.0,0.0,2022-01-07
156,12:00:00,4.7,74,0.0,0.0,0.0,2022-01-07
157,13:00:00,5.2,78,0.0,0.0,0.0,2022-01-07
158,14:00:00,5.5,78,0.0,0.0,0.0,2022-01-07
159,15:00:00,5.2,78,0.0,0.0,0.0,2022-01-07
160,16:00:00,4.4,82,0.0,0.0,0.0,2022-01-07
161,17:00:00,3.7,88,0.3,0.3,0.0,2022-01-07
162,18:00:00,3.4,89,0.0,0.0,0.0,2022-01-07
163,19:00:00,2.3,92,0.0,0.0,0.0,2022-01-07
164,20:00:00,1.6,93,0.0,0.0,0.0,2022-01-07
165,21:00:00,1.3,92,0.0,0.0,0.0,2022-01-07
166,22:00:00,1.1,92,0.0,0.0,0.0,2022-01-07
167,23:00:00,0.9,90,0.0,0.0,0.0,2022-01-07
168,00:00:00,0.6,92,0.0,0.0,0.0,2022-01-08
169,01:00:00,1.0,92,0.0,0.0,0.0,2022-01-08
170,02:00:00,1.3,92,0.0,0.0,0.0,2022-01-08
171,03:00:00,2.5,89,0.0,0.0,0.0,2022-01-08
172,04:00:00,3.0,87,0.0,0.0,0.0,2022-01-08
173,05:00:00,3.6,85,0.1,0.1,0.0,2022-01-08
174,06:00:00,4.3,87,0.3,0.3,0.0,2022-01-08
175,07:00:00,5.4,90,0.3,0.3,0.0,2022-01-08
176,08:00:00,6.2,91,0.2,0.2,0.0,2022-01-08
177,09:00:00,7.4,90,0.2,0.2,0.0,2022-01-08
178,10:00:00,8.2,91,0.1,0.1,0.0,2022-01-08
179,11:00:00,8.8,90,0.2,0.2,0.0,2022-01-08
180,12:00:00,9.0,90,2.2,2.2,0.0,2022-01-08
181,13:00:00,9.5,91,1.4,1.4,0.0,2022-01-08
182,14:00:00,9.6,91,0.6,0.6,0.0,2022-01-08
183,15:00:00,9.5,93,0.4,0.4,0.0,2022-01-08
184,16:00:00,9.4,88,0.5,0.5,0.0,2022-01-08
185,17:00:00,7.8,86,1.3,1.3,0.0,2022-01-08
186,18:00:00,7.3,85,0.1,0.1,0.0,2022-01-08
187,19:00:00,7.0,81,0.0,0.0,0.0,2022-01-08
188,20:00:00,6.3,80,0.0,0.0,0.0,2022-01-08
189,21:00:00,5.0,80,0.0,0.0,0.0,2022-01-08
190,22:00:00,4.0,79,0.0,0.0,0.0,2022-01-08
191,23:00:00,3.5,80,0.0,0.0,0.0,2022-01-08
192,00:00:00,3.9,81,0.0,0.0,0.0,2022-01-09
193,01:00:00,3.8,79,0.0,0.0,0.0,2022-01-09
194,02:00:00,3.5,79,0.0,0.0,0.0,2022-01-09
195,03:00:00,3.0,80,0.0,0.0,0.0,2022-01-09
196,04:00:00,2.3,83,0.0,0.0,0.0,2022-01-09
197,05:00:00,1.5,87,0.0,0.0,0.0,2022-01-09
198,06:00:00,1.4,88,0.0,0.0,0.0,2022-01-09
199,07:00:00,1.5,88,0.0,0.0,0.0,2022-01-09
200,08:00:00,1.5,89,0.0,0.0,0.0,2022-01-09
201,09:00:00,2.0,89,0.0,0.0,0.0,2022-01-09
202,10:00:00,3.5,85,0.0,0.0,0.0,2022-01-09
203,11:00:00,5.0,80,0.0,0.0,0.0,2022-01-09
204,12:00:00,6.4,77,0.0,0.0,0.0,2022-01-09
205,13:00:00,7.1,73,0.0,0.0,0.0,2022-01-09
206,14:00:00,7.3,72,0.0,0.0,0.0,2022-01-09
207,15:00:00,6.9,76,0.0,0.0,0.0,2022-01-09
208,16:00:00,4.4,87,0.0,0.0,0.0,2022-01-09
209,17:00:00,2.4,92,0.0,0.0,0.0,2022-01-09
210,18:00:00,1.7,94,0.0,0.0,0.0,2022-01-09
211,19:00:00,1.7,95,0.0,0.0,0.0,2022-01-09
212,20:00:00,0.8,97,0.0,0.0,0.0,2022-01-09
213,21:00:00,0.3,98,0.0,0.0,0.0,2022-01-09
214,22:00:00,0.2,99,0.0,0.0,0.0,2022-01-09
215,23:00:00,-0.6,100,0.0,0.0,0.0,2022-01-09
216,00:00:00,0.1,99,0.0,0.0,0.0,2022-01-10
217,01:00:00,0.1,99,0.0,0.0,0.0,2022-01-10
218,02:00:00,0.6,100,0.0,0.0,0.0,2022-01-10
219,03:00:00,1.3,99,0.0,0.0,0.0,2022-01-10
220,04:00:00,1.3,99,0.0,0.0,0.0,2022-01-10
221,05:00:00,2.6,96,0.0,0.0,0.0,2022-01-10
222,06:00:00,3.5,94,0.0,0.0,0.0,2022-01-10
223,07:00:00,2.6,97,0.0,0.0,0.0,2022-01-10
224,08:00:00,2.7,97,0.0,0.0,0.0,2022-01-10
225,09:00:00,3.6,95,0.0,0.0,0.0,2022-01-10
226,10:00:00,4.8,90,0.0,0.0,0.0,2022-01-10
227,11:00:00,5.8,85,0.0,0.0,0.0,2022-01-10
228,12:00:00,7.0,89,0.0,0.0,0.0,2022-01-10
229,13:00:00,8.2,88,0.0,0.0,0.0,2022-01-10
230,14:00:00,8.2,91,0.0,0.0,0.0,2022-01-10
231,15:00:00,8.1,92,0.1,0.1,0.0,2022-01-10
232,16:00:00,7.7,92,0.1,0.1,0.0,2022-01-10
233,17:00:00,7.6,91,0.1,0.1,0.0,2022-01-10
234,18:00:00,7.5,91,0.0,0.0,0.0,2022-01-10
235,19:00:00,7.6,92,0.0,0.0,0.0,2022-01-10
236,20:00:00,7.6,93,0.1,0.1,0.0,2022-01-10
237,21:00:00,7.9,93,0.1,0.1,0.0,2022-01-10
238,22:00:00,8.0,92,0.1,0.1,0.0,2022-01-10
239,23:00:00,7.9,91,0.1,0.1,0.0,2022-01-10
240,00:00:00,8.0,94,0.1,0.1,0.0,2022-01-11
241,01:00:00,8.0,94,0.2,0.2,0.0,2022-01-11
242,02:00:00,8.0,93,0.1,0.1,0.0,2022-01-11
243,03:00:00,8.0,94,0.0,0.0,0.0,2022-01-11
244,04:00:00,8.1,93,0.0,0.0,0.0,2022-01-11
245,05:00:00,8.1,94,0.0,0.0,0.0,2022-01-11
246,06:00:00,8.0,95,0.0,0.0,0.0,2022-01-11
247,07:00:00,8.1,96,0.0,0.0,0.0,2022-01-11
248,08:00:00,7.7,97,0.0,0.0,0.0,2022-01-11
249,09:00:00,8.1,97,0.0,0.0,0.0,2022-01-11
250,10:00:00,8.8,96,0.0,0.0,0.0,2022-01-11
251,11:00:00,9.4,96,0.0,0.0,0.0,2022-01-11
252,12:00:00,9.1,97,0.0,0.0,0.0,2022-01-11
253,13:00:00,9.4,97,0.2,0.2,0.0,2022-01-11
254,14:00:00,9.4,97,0.1,0.1,0.0,2022-01-11
255,15:00:00,9.4,98,0.1,0.1,0.0,2022-01-11
256,16:00:00,8.9,99,0.2,0.2,0.0,2022-01-11
257,17:00:00,8.7,100,0.5,0.5,0.0,2022-01-11
258,18:00:00,8.7,99,0.2,0.2,0.0,2022-01-11
259,19:00:00,8.8,97,0.4,0.4,0.0,2022-01-11
260,20:00:00,8.7,96,0.3,0.3,0.0,2022-01-11
261,21:00:00,8.4,96,0.0,0.0,0.0,2022-01-11
262,22:00:00,8.2,95,0.0,0.0,0.0,2022-01-11
263,23:00:00,7.5,94,0.0,0.0,0.0,2022-01-11
264,00:00:00,6.7,96,0.0,0.0,0.0,2022-01-12
265,01:00:00,5.7,96,0.0,0.0,0.0,2022-01-12
266,02:00:00,4.8,96,0.0,0.0,0.0,2022-01-12
267,03:00:00,4.8,97,0.0,0.0,0.0,2022-01-12
268,04:00:00,4.0,100,0.0,0.0,0.0,2022-01-12
269,05:00:00,3.7,100,0.0,0.0,0.0,2022-01-12
270,06:00:00,3.5,99,0.0,0.0,0.0,2022-01-12
271,07:00:00,3.4,98,0.0,0.0,0.0,2022-01-12
272,08:00:00,3.2,99,0.0,0.0,0.0,2022-01-12
273,09:00:00,2.8,100,0.0,0.0,0.0,2022-01-12
274,10:00:00,3.3,96,0.0,0.0,0.0,2022-01-12
275,11:00:00,3.9,96,0.0,0.0,0.0,2022-01-12
276,12:00:00,4.6,91,0.0,0.0,0.0,2022-01-12
277,13:00:00,5.7,89,0.0,0.0,0.0,2022-01-12
278,14:00:00,6.4,89,0.0,0.0,0.0,2022-01-12
279,15:00:00,6.1,92,0.0,0.0,0.0,2022-01-12
280,16:00:00,4.5,99,0.0,0.0,0.0,2022-01-12
281,17:00:00,2.7,100,0.0,0.0,0.0,2022-01-12
282,18:00:00,1.9,100,0.0,0.0,0.0,2022-01-12
283,19:00:00,1.8,100,0.0,0.0,0.0,2022-01-12
284,20:00:00,1.6,100,0.0,0.0,0.0,2022-01-12
285,21:00:00,1.3,100,0.0,0.0,0.0,2022-01-12
286,22:00:00,1.2,100,0.0,0.0,0.0,2022-01-12
287,23:00:00,1.1,100,0.0,0.0,0.0,2022-01-12
288,00:00:00,1.3,100,0.0,0.0,0.0,2022-01-13
289,01:00:00,1.0,100,0.0,0.0,0.0,2022-01-13
290,02:00:00,0.8,100,0.0,0.0,0.0,2022-01-13
291,03:00:00,0.8,100,0.0,0.0,0.0,2022-01-13
292,04:00:00,0.7,99,0.0,0.0,0.0,2022-01-13
293,05:00:00,0.4,100,0.0,0.0,0.0,2022-01-13
294,06:00:00,0.2,99,0.0,0.0,0.0,2022-01-13
295,07:00:00,-0.5,99,0.0,0.0,0.0,2022-01-13
296,08:00:00,-0.6,99,0.0,0.0,0.0,2022-01-13
297,09:00:00,0.3,98,0.0,0.0,0.0,2022-01-13
298,10:00:00,1.7,91,0.0,0.0,0.0,2022-01-13
299,11:00:00,2.9,89,0.0,0.0,0.0,2022-01-13
300,12:00:00,3.9,75,0.0,0.0,0.0,2022-01-13
301,13:00:00,5.0,79,0.0,0.0,0.0,2022-01-13
302,14:00:00,5.5,80,0.0,0.0,0.0,2022-01-13
303,15:00:00,5.4,82,0.0,0.0,0.0,2022-01-13
304,16:00:00,3.7,92,0.0,0.0,0.0,2022-01-13
305,17:00:00,2.2,93,0.0,0.0,0.0,2022-01-13
306,18:00:00,1.8,95,0.0,0.0,0.0,2022-01-13
307,19:00:00,1.2,96,0.0,0.0,0.0,2022-01-13
308,20:00:00,0.7,94,0.0,0.0,0.0,2022-01-13
309,21:00:00,0.4,92,0.0,0.0,0.0,2022-01-13
310,22:00:00,0.0,92,0.0,0.0,0.0,2022-01-13
311,23:00:00,-0.6,94,0.0,0.0,0.0,2022-01-13
312,00:00:00,0.3,94,0.0,0.0,0.0,2022-01-14
313,01:00:00,-0.9,95,0.0,0.0,0.0,2022-01-14
314,02:00:00,-0.7,94,0.0,0.0,0.0,2022-01-14
315,03:00:00,-0.1,93,0.0,0.0,0.0,2022-01-14
316,04:00:00,0.3,91,0.0,0.0,0.0,2022-01-14
317,05:00:00,-0.5,93,0.0,0.0,0.0,2022-01-14
318,06:00:00,-1.2,94,0.0,0.0,0.0,2022-01-14
319,07:00:00,-1.2,96,0.0,0.0,0.0,2022-01-14
320,08:00:00,-1.6,97,0.0,0.0,0.0,2022-01-14
321,09:00:00,-0.1,95,0.0,0.0,0.0,2022-01-14
322,10:00:00,1.5,90,0.0,0.0,0.0,2022-01-14
323,11:00:00,2.6,88,0.0,0.0,0.0,2022-01-14
324,12:00:00,2.6,81,0.0,0.0,0.0,2022-01-14
325,13:00:00,3.3,82,0.0,0.0,0.0,2022-01-14
326,14:00:00,3.8,83,0.0,0.0,0.0,2022-01-14
327,15:00:00,3.4,84,0.0,0.0,0.0,2022-01-14
328,16:00:00,1.4,94,0.0,0.0,0.0,2022-01-14
329,17:00:00,0.3,96,0.0,0.0,0.0,2022-01-14
330,18:00:00,0.1,98,0.0,0.0,0.0,2022-01-14
331,19:00:00,-0.3,97,0.0,0.0,0.0,2022-01-14
332,20:00:00,-0.9,99,0.0,0.0,0.0,2022-01-14
333,21:00:00,-1.3,100,0.0,0.0,0.0,2022-01-14
334,22:00:00,-1.4,99,0.0,0.0,0.0,2022-01-14
335,23:00:00,-1.5,100,0.0,0.0,0.0,2022-01-14
336,00:00:00,-1.0,100,0.0,0.0,0.0,2022-01-15
337,01:00:00,-1.2,100,0.0,0.0,0.0,2022-01-15
338,02:00:00,-1.1,99,0.0,0.0,0.0,2022-01-15
339,03:00:00,-1.2,99,0.0,0.0,0.0,2022-01-15
340,04:00:00,-1.6,98,0.0,0.0,0.0,2022-01-15
341,05:00:00,-0.9,97,0.0,0.0,0.0,2022-01-15
342,06:00:00,-0.8,97,0.0,0.0,0.0,2022-01-15
343,07:00:00,-0.5,98,0.0,0.0,0.0,2022-01-15
344,08:00:00,-0.4,100,0.0,0.0,0.0,2022-01-15
345,09:00:00,1.3,100,0.0,0.0,0.0,2022-01-15
346,10:00:00,3.5,95,0.0,0.0,0.0,2022-01-15
347,11:00:00,4.6,93,0.0,0.0,0.0,2022-01-15
348,12:00:00,4.7,92,0.0,0.0,0.0,2022-01-15
349,13:00:00,5.3,86,0.0,0.0,0.0,2022-01-15
350,14:00:00,5.5,82,0.0,0.0,0.0,2022-01-15
351,15:00:00,5.0,85,0.0,0.0,0.0,2022-01-15
352,16:00:00,3.8,89,0.0,0.0,0.0,2022-01-15
353,17:00:00,3.9,87,0.0,0.0,0.0,2022-01-15
354,18:00:00,2.0,93,0.0,0.0,0.0,2022-01-15
355,19:00:00,-0.1,95,0.0,0.0,0.0,2022-01-15
356,20:00:00,2.4,93,0.0,0.0,0.0,2022-01-15
357,21:00:00,2.4,94,0.0,0.0,0.0,2022-01-15
358,22:00:00,2.3,94,0.0,0.0,0.0,2022-01-15
359,23:00:00,2.9,93,0.0,0.0,0.0,2022-01-15
360,00:00:00,1.7,95,0.0,0.0,0.0,2022-01-16
361,01:00:00,0.9,97,0.0,0.0,0.0,2022-01-16
362,02:00:00,0.9,97,0.0,0.0,0.0,2022-01-16
363,03:00:00,2.9,96,0.0,0.0,0.0,2022-01-16
364,04:00:00,2.8,97,0.0,0.0,0.0,2022-01-16
365,05:00:00,1.7,99,0.0,0.0,0.0,2022-01-16
366,06:00:00,0.9,100,0.0,0.0,0.0,2022-01-16
367,07:00:00,2.4,100,0.0,0.0,0.0,2022-01-16
368,08:00:00,0.3,100,0.0,0.0,0.0,2022-01-16
369,09:00:00,2.2,100,0.0,0.0,0.0,2022-01-16
370,10:00:00,3.3,98,0.0,0.0,0.0,2022-01-16
371,11:00:00,5.0,93,0.0,0.0,0.0,2022-01-16
372,12:00:00,5.9,93,0.0,0.0,0.0,2022-01-16
373,13:00:00,7.2,90,0.0,0.0,0.0,2022-01-16
374,14:00:00,7.8,89,0.0,0.0,0.0,2022-01-16
375,15:00:00,7.8,91,0.0,0.0,0.0,2022-01-16
376,16:00:00,5.5,95,0.0,0.0,0.0,2022-01-16
377,17:00:00,3.5,98,0.0,0.0,0.0,2022-01-16
378,18:00:00,2.7,98,0.0,0.0,0.0,2022-01-16
379,19:00:00,2.5,98,0.0,0.0,0.0,2022-01-16
380,20:00:00,4.2,96,0.0,0.0,0.0,2022-01-16
381,21:00:00,4.9,94,0.0,0.0,0.0,2022-01-16
382,22:00:00,3.8,92,0.0,0.0,0.0,2022-01-16
383,23:00:00,2.6,91,0.0,0.0,0.0,2022-01-16
384,00:00:00,2.8,90,0.0,0.0,0.0,2022-01-17
385,01:00:00,1.5,92,0.0,0.0,0.0,2022-01-17
386,02:00:00,1.0,93,0.0,0.0,0.0,2022-01-17
387,03:00:00,0.6,95,0.0,0.0,0.0,2022-01-17
388,04:00:00,0.8,95,0.0,0.0,0.0,2022-01-17
389,05:00:00,1.0,94,0.0,0.0,0.0,2022-01-17
390,06:00:00,0.7,95,0.0,0.0,0.0,2022-01-17
391,07:00:00,-0.4,96,0.0,0.0,0.0,2022-01-17
392,08:00:00,0.3,96,0.0,0.0,0.0,2022-01-17
393,09:00:00,1.3,95,0.0,0.0,0.0,2022-01-17
394,10:00:00,3.0,91,0.0,0.0,0.0,2022-01-17
395,11:00:00,4.7,89,0.0,0.0,0.0,2022-01-17
396,12:00:00,5.7,82,0.0,0.0,0.0,2022-01-17
397,13:00:00,6.8,80,0.0,0.0,0.0,2022-01-17
398,14:00:00,7.2,80,0.0,0.0,0.0,2022-01-17
399,15:00:00,7.1,83,0.0,0.0,0.0,2022-01-17
400,16:00:00,4.6,90,0.0,0.0,0.0,2022-01-17
401,17:00:00,3.3,92,0.0,0.0,0.0,2022-01-17
402,18:00:00,1.8,95,0.0,0.0,0.0,2022-01-17
403,19:00:00,0.5,98,0.0,0.0,0.0,2022-01-17
404,20:00:00,0.5,99,0.0,0.0,0.0,2022-01-17
405,21:00:00,0.0,100,0.0,0.0,0.0,2022-01-17
406,22:00:00,-0.2,100,0.0,0.0,0.0,2022-01-17
407,23:00:00,-0.9,100,0.0,0.0,0.0,2022-01-17
408,00:00:00,-1.0,100,0.0,0.0,0.0,2022-01-18
409,01:00:00,-1.4,99,0.0,0.0,0.0,2022-01-18
410,02:00:00,-1.3,99,0.0,0.0,0.0,2022-01-18
411,03:00:00,-1.5,99,0.0,0.0,0.0,2022-01-18
412,04:00:00,-1.2,99,0.0,0.0,0.0,2022-01-18
413,05:00:00,-1.4,99,0.0,0.0,0.0,2022-01-18
414,06:00:00,-1.4,98,0.0,0.0,0.0,2022-01-18
415,07:00:00,-1.4,98,0.0,0.0,0.0,2022-01-18
416,08:00:00,-1.4,97,0.0,0.0,0.0,2022-01-18
417,09:00:00,0.4,89,0.0,0.0,0.0,2022-01-18
